Player,Score,Date
123Fu2,1300,7/4/2016
Abdallah222,1400,7/4/2016
akash_512,22000,7/4/2016
Blaizemeister,1400,7/4/2016
Blood Bullet,3350,7/4/2016
Caesar Royale,7700,7/4/2016
Chillingss,3200,7/4/2016
Chrisslabbert20,16850,7/4/2016
Czakobmx,31700,7/4/2016
helanie23,3400,7/4/2016
Jannel1984,14100,7/4/2016
jct22,16400,7/4/2016
league of galax,4150,7/4/2016
LoganManoj,15080,7/4/2016
Lord ShabZ,7680,7/4/2016
M-Adel,10800,7/4/2016
mumblebumble,16600,7/4/2016
RoyalC,10100,7/4/2016
Sarelo,12000,7/4/2016
The MsssA,5000,7/4/2016
The_Jachal,17700,7/4/2016
Tiny3001,20000,7/4/2016
Viver21,34300,7/4/2016
worm1112,2530,7/4/2016
Zizzou22,1350,7/4/2016
Zativity,0,7/4/2016
DojoBreaker,0,7/4/2016
The_Jachal,42600,19/4/2016
Zativity,33000,19/4/2016
LoganManoj,23850,19/4/2016
mumblebumble,21000,19/4/2016
Jannel1984,18800,19/4/2016
Chrisslabbert20,18000,19/4/2016
worm1112,17320,19/4/2016
akash_512,17300,19/4/2016
jct22,16270,19/4/2016
Sarelo,16000,19/4/2016
Lord ShabZ,11020,19/4/2016
RoyalC,10550,19/4/2016
Viver21,9850,19/4/2016
Czakobmx,9000,19/4/2016
Abdallah222,8850,19/4/2016
Caesar Royale,6950,19/4/2016
M-Adel,6450,19/4/2016
Chillingss,6400,19/4/2016
league of galax,6350,19/4/2016
The MsssA,6050,19/4/2016
Zizzou22,4500,19/4/2016
123Fu2,4000,19/4/2016
Blood Bullet,3750,19/4/2016
Rusty Judas,3000,19/4/2016
Tiny3001,2950,19/4/2016
Blaizemeister,2150,19/4/2016
Jayw974,2100,19/4/2016
sibani.lee,1950,19/4/2016
Dead is the Ben,800,19/4/2016
DojoBreaker,400,19/4/2016
